"region_id","avg_observed","avg_relative_anomaly_no2","avg_relative_anomaly_pm25","avg_relative_anomaly_traffic_mapbox","avg_relative_anomaly_traffic_apple","avg_relative_anomaly_traffic_tomtom","avg_absolute_anomaly_no2","avg_absolute_anomaly_pm25","avg_absolute_anomaly_traffic_mapbox","avg_absolute_anomaly_traffic_apple","avg_absolute_anomaly_traffic_tomtom","avg_predicted_no2","avg_predicted_pm25","avg_predicted_traffic_mapbox","avg_predicted_traffic_apple","avg_predicted_traffic_tomtom"
"sunderland",9.88127642796249,,-0.257123445681105,,,,,-3.4200942648064,,,,,13.3013706927689,,,
"swansea",13.0502964906634,,-0.0616701155802853,,,,,-0.8577082604951,,,,,13.9080047511585,,,
"swansea",,,,-0.539980818279825,,-0.651203582237319,,,,,,,,,,
"swindon",,,,-0.583804869049408,,,,,,,,,,,,
"telford",,,,-0.539673498771455,,,,,,,,,,,,
"warrington",11.8657002742849,,-0.171647860362264,,,,,-2.45876356964763,,,,,14.3244638439325,,,
"warrington",,,,-0.583363533281654,,,,,,,,,,,,
"wigan",11.4876833617505,,-0.189800643701629,,,,,-2.69115209701274,,,,,14.1788354587632,,,
"worthing",12.6054858043349,,-0.104789424977375,,,,,-1.47554290113623,,,,,14.0810287054711,,,
"york",10.454131301317,,-0.0113736477615127,,,,,-0.120269510118319,,,,,10.5744008114353,,,
"york",,,,-0.58665347806194,,,,,,,,,,,,
