"","region_id","population","cost.mlnUSD","deaths"
"1","aberdeen",184031,11.0268198580428,7.80883417988567
"2","barnsley",71332,0.353076196523126,0.249041956811914
"3","belfast",274678,36.6989720975339,24.5370913006071
"4","birkenhead",81230,3.83271678213962,2.07789551369141
"5","birmingham",986969,81.6181942490411,54.7636618582923
"6","blackburn",106330,0.0271250326251094,0
"7","blackpool",143154,-1.36621638718776,-0.941190734589448
"8","bournemouth",176795,-7.43582030504736,-4.1598075668983
"9","bradford",300478,26.948194937831,19.805382463026
"10","brighton",140152,-0.46792564176661,-0.441939848329234
"11","bristol",432967,3.97950696883387,5.9249768490085
"12","cambridge",131301,2.58712794453936,1.8972398382974
"13","cardiff",304777,3.69862710184336,4.42958125739502
"14","chatham",75948,1.6534159315495,1.48963582541527
"15","coventry",309323,21.6603341539164,15.0772591510372
"16","derby",236245,15.7389151752597,11.5412567468186
"17","doncaster",67523,5.61254359786356,4.11832119292362
"18","dundee",151236,0.037301287993776,0
"19","edinburgh",438501,17.5986138240848,10.3239497036059
"20","exeter",114697,10.9163257056163,7.98758649177425
"21","glasgow",607192,59.6260126023089,41.0125243248025
"22","leeds",457875,33.6491006284072,24.1348173126647
"23","leicester",341201,8.81325330563791,7.71364090557707
"24","liverpool",468584,36.2473995657522,23.5411620668151
"25","london",7489022,249.546249562241,216.946716632341
"26","luton",195617,22.2611747680007,16.3568315872044
"27","manchester",395514,34.1970751904118,23.5910409962473
"28","middlesbrough",142587,-7.50631701023414,-4.28705204417168
"29","newport",117636,-5.15547188014317,-2.95973805822938
"30","northampton",199112,-8.02854506885368,-4.65802507100491
"31","norwich",178388,-6.84241038041705,-3.93945664428802
"32","nottingham",245615,13.1485290482214,9.58210430237813
"33","oxford",157568,15.5882036197791,11.266934534555
"34","plymouth",247923,-5.56017134528754,-3.48970522939786
"35","portsmouth",195845,11.7276904810089,8.57663202261554
"36","preston",192001,-1.20296745874827,-1.01686865103413
"37","reading",246814,10.3791189703258,8.5047448746926
"38","sheffield",448596,51.1441410170356,34.8404873167091
"39","southampton",249189,-7.92516971991399,-5.26996650906483
"40","sunderland",177862,5.41521051156189,2.93328180981742
"41","swansea",171146,-0.973599243065796,-0.693596331474496
"42","swindon",164076,0.0421203906551182,0
"43","telford",43932,0.021226303383295,0
"44","warrington",81293,4.37005558140856,2.76571671583458
"45","wigan",80597,4.97282488100155,2.70037925011109
"46","worthing",99551,5.39849675779646,3.84457581304503
"47","york",145854,-6.75426593517923,-3.96690744686203
