"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"cambridge",-22.2967411108755,-0.919086620372808,,,,,,,,,,-10.7596797568133,-0.486614668714174,,,,,,,,,
"oxford",-22.8267248676084,-0.701273373201491,,,-9.62640566202213,-0.422948607790868,-6.83846908670342,-0.439677266929282,,,,-11.0350567559034,-0.386754575783373,,,0.596390723145724,0.0413780883226203,0.479996957332879,0.0665293600334092,,,
"doncaster",-24.641568213564,-0.798073412628143,,,,,,,,,,-11.0882046615037,-0.366606323698873,,,,,,,,,
"portsmouth",-19.2755513738749,-0.828914317331214,,,-16.1620440908942,-0.577008112268993,,,-0.720725942687104,-0.801,-0.806451612903226,-7.48618909760265,-0.352950343960661,,,0.852812356686912,0.0389450854184359,,,-0.540399440563028,-0.543160119047619,-0.593677738867009
"chatham",-19.7836714530581,-0.762430673463443,,,-16.0735934258073,-0.521062107329375,-14.8900619853039,-0.583066233444805,-0.743394038691789,,,-6.94592050927537,-0.324495985682204,,,0.146126547441403,-0.0118904079690816,1.90566213799471,0.122671615454164,-0.528890202324636,,
"warrington",-19.1187868035221,-0.597397529939753,,,-16.1798580105015,-0.615645944008186,-7.61876165026237,-0.57075304388736,-0.744647086735407,,,-8.07519022329676,-0.319900482547365,,,-0.909651995041867,-0.045222269409392,-0.668522930044674,-0.0412870376753511,-0.558835963755902,,
"luton",-36.024823645011,-0.663194306829691,,,,,,,-0.828579822495581,,,-15.079209672465,-0.305372028803031,,,,,,,-0.671239760266476,,
"telford",-12.8777482912517,-0.715141466967365,,,,,,,-0.687302490790645,,,-4.30309794801017,-0.285022423364001,,,,,,,-0.511174436883804,,
"sheffield",-20.1449504206836,-0.601673750017269,-18.9921891871923,-0.2112383702101,-17.3481009677744,-0.486195573353667,-14.7173867127257,-0.46868509659924,,-0.8799,-0.852941176470588,-7.8068863786397,-0.264781204122653,4.19587211338094,0.101851218042469,-2.025996357102,-0.049208677256133,-1.38002580733668,-0.0480189725950178,,-0.609813095238095,-0.637311447520018
"blackpool",-12.065062856271,-0.742169637115971,-28.361281665588,-0.346480205010566,-12.8498031923833,-0.916322727685401,-25.1952404729104,-0.876977813165308,-0.726113106392637,,,-3.42124120429829,-0.262689893214331,3.13673200837642,0.0655957035728162,-1.19834388658778,-0.0969233981577856,-7.01190600145072,-0.373874149498898,-0.53626106157955,,
"nottingham",-18.5316860907768,-0.494537431573415,-32.0390606970443,-0.364489975638787,-15.2384182832718,-0.561200473344064,-9.37466463166697,-0.551603491710451,-0.814372171929997,-0.8579,-0.794117647058823,-7.14731454422246,-0.262360900618033,5.49450654654451,0.124534165791959,-1.37716749839554,-0.0429734358698742,-0.359927936050814,-0.00503927498381252,-0.644253148562396,-0.6762875,-0.587995539030247
"aberdeen",-21.2617866965583,-0.69880226020334,-13.7194965849146,-0.308385948827757,-13.8247619356607,-0.724647438679747,-8.23370824166773,-0.747139336164799,-0.71109880508485,,,-6.96683245068281,-0.259535661336455,0.187501787333118,0.0168986090805254,-1.05866232176201,-0.0583862649781176,-0.302455910994067,-0.0272714711551832,-0.520959242016678,,
"preston",-16.0690925553515,-0.538173137202519,-41.6056026094834,-1.03431746685844,-10.0253951612622,-0.758595722765177,-15.8229492617091,-0.639307113450101,,,-0.84375,-5.68055377662366,-0.256476903075927,1.22602876060476,0.0371022280926839,0.228690388827372,-0.00980077919919001,-3.3872365329784,-0.21652034989747,,,-0.654346597985837
"exeter",-23.3830383165068,-0.551319568206962,-17.6601786374663,-0.317331706457419,,,,,,,,-9.43293378584262,-0.256062289950911,4.74222517656725,0.139608865188543,,,,,,,
"manchester",-20.6749518326781,-0.541310540455631,-12.6575605333425,-0.211299995273288,-12.5037646421628,-0.452016234209407,-8.30475470119784,-0.571492784463725,-0.707207808138858,-0.8536,-0.871794871794872,-6.41729547840063,-0.252038314939531,6.84063802085041,0.160583982193579,-1.86501304825471,-0.0673213441991227,-1.41384537964,-0.0947992655485791,-0.529305171245782,-0.6284125,-0.695677928572665
"glasgow",-19.2878451418294,-0.522795353602661,-21.4296453044748,-0.289829875814622,-13.6377242568735,-0.610763023308759,-6.49327683671645,-0.587709867790597,-0.777722598615541,-0.8699,-0.785714285714286,-8.47120104112648,-0.244915013885017,2.01548947295649,0.0919537146084763,-2.873401823047,-0.211636443497423,-0.935028061906045,-0.12315909343332,-0.48895684062783,-0.638161904761905,-0.653343428014481
"barnsley",-15.0529590607512,-0.540561907755474,-39.6018561419085,-0.433528361708397,,,,,,,,-4.57226889265315,-0.242493403157949,-5.78480858481124,-0.0654015831153875,,,,,,,
"blackburn",-13.8820496532759,-0.695693542083354,,,,,,,-0.742823152123312,,,-3.75155172946436,-0.241415839976112,,,,,,,-0.528467494386051,,
"wigan",-17.4170116828865,-0.629555371037891,-22.7426380086913,-0.362282623168596,-7.46845735319324,-0.577515247514915,-9.94550102942211,-0.558972856726289,,,,-4.15109432896421,-0.24022129991927,2.47816748253661,0.0920995864487516,2.65053457847144,0.15221136386571,-1.07190786920842,-0.0672044593702365,,,
"birmingham",-16.4403294497095,-0.598100556455494,-23.7512310630882,-0.282364963253596,-13.4835121470197,-0.416590734927251,-13.3625232143901,-0.463225616198491,-0.756057423685645,-0.8349,-0.885714285714286,-5.95061655363113,-0.240179265509176,3.03387727099476,0.0727449636042729,-0.594021625325808,-0.0288314812873965,-1.27563067954838,-0.0675272850685664,-0.599821569414665,-0.617917261904762,-0.701641702215988
"cardiff",-17.4147552774243,-0.558555259024266,-43.625592728308,-0.454354888981951,-9.38660283769396,-0.403906242562495,-7.04478841163005,-0.448690724227668,-0.716637183291486,-0.8932,-0.818181818181818,-5.27447026314292,-0.235309424265233,2.41834598336113,0.104891043320857,2.85089706224115,0.133160690170223,2.49503070664587,0.213941900308217,-0.568262540437154,-0.731925595238095,-0.667733030727714
"coventry",-18.1600852818663,-0.536905994805912,-24.1823014591192,-0.288200081629813,-14.056328463722,-0.517307168879672,-9.18269978764098,-0.406998330411201,,,-0.870967741935484,-5.45464168414924,-0.206006737610541,4.16099380460935,0.0999759052027853,-1.58668448206515,-0.0737969421209876,-0.705640426772276,-0.0316013516326437,,,-0.735929671158873
"worthing",-20.0769686815176,-0.57508153257736,,,,,-11.6972909191916,-0.55445508384653,,,,-6.17834420397064,-0.20167486175982,,,,,0.870282398180033,0.0795552650896892,,,
"bradford",-36.4374295030301,-0.628861635984843,,,,,,,,-0.812,,-12.7581160055236,-0.201058723235005,,,,,,,,-0.496688095238095,
