"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"cambridge",-20.6671047118756,-0.78243895160045,,,,,,,,,,-10.2434632794979,-0.4543413047447,,,,,,,,,
"doncaster",-24.3912186578595,-0.784947046528622,,,,,,,,,,-12.3828945024918,-0.414592084346134,,,,,,,,,
"telford",-13.2680944987159,-0.736818607498273,,,,,,,-0.680001772597853,,,-5.28381774006893,-0.358614027069273,,,,,,,-0.539673498771455,,
"blackburn",-14.8674922524595,-0.780332255228117,,,,,,,-0.734972102056125,,,-5.34048054348458,-0.350529423267561,,,,,,,-0.545059062887786,,
"warrington",-18.4671387399887,-0.577035728349226,,,-15.0251640924198,-0.571709672949658,-6.30214507437409,-0.440566617028297,-0.737046515492014,,,-8.36021796052563,-0.334028900720783,,,0.197025076624924,0.00914484726874904,0.698963452257531,0.0625287322151975,-0.583363533281654,,
"oxford",-20.0823168585041,-0.612334131805475,,,-7.95732970334132,-0.298709930072912,-5.70016588109512,-0.343224261490199,,,,-9.513565112355,-0.331238180481138,,,2.53626127004412,0.164412204878174,1.84446260587059,0.191267275101565,,,
"sheffield",-20.2061453721469,-0.60351505264769,-19.4436183607825,-0.219021789262944,-17.4055041708467,-0.488677334021317,-13.2667167238074,-0.416319143287526,,-0.8799,-0.852941176470588,-9.15617157690877,-0.312152666963597,4.16485247232052,0.102112868032516,-2.40698675721911,-0.0639832408459886,0.00684437525480923,0.0470627476079217,,-0.640089795918367,-0.669068463855616
"nottingham",-18.2374304600013,-0.484614992925988,-29.0138991650442,-0.330074451927636,-14.15404291737,-0.521265097026513,-8.29137389196823,-0.471830049223598,-0.807522913206619,-0.8579,-0.794117647058823,-7.93801009012759,-0.290551792135526,9.63157525252708,0.198360166884717,-0.442205255278751,0.00145356561874106,0.730771369492446,0.0953789766910904,-0.66988911822341,-0.709558503401361,-0.62227918261974
"manchester",-20.2399123261191,-0.527531777403431,-10.4098846417563,-0.131096313016219,-10.7301456136086,-0.371654845277021,-6.8171496977652,-0.468977942501589,-0.699264288174863,-0.8536,-0.871794871794872,-6.82736494827657,-0.265829744436637,8.18527906154887,0.187438017380928,-0.174657527299797,0.0117756568865907,-0.0276854258680306,0.0269380741907182,-0.554041836482125,-0.656066666666667,-0.723932306432306
"aberdeen",-20.556707109928,-0.665342050331607,-13.099840727787,-0.294457364913309,-14.1554640368969,-0.741981728538925,-8.45867964279381,-0.768131380017894,-0.703461030444206,,,-7.13452658833977,-0.263706658991248,0.823300797349908,0.0309471629048321,-1.33458952709793,-0.0769849351398536,-0.432241758292621,-0.0413920697132364,-0.544753134506713,,
