"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"glasgow",-28.8093843884503,-0.826761499261975,-13.3442624265712,-0.180477365209739,-12.9635500628787,-0.568852248222321,-6.71434433477486,-0.631771252341623,-0.777722598615541,-0.8699,-0.785714285714286,-17.9927402877474,-0.542092270089208,10.1008723508601,0.261339606541165,-2.19922762905217,-0.157864862468748,-1.15609555996446,-0.156673244561504,-0.48895684062783,-0.638161904761905,-0.653343428014481
"warrington",-24.0187705749777,-0.819892274945382,,,-14.3792451209879,-0.547132362403304,-9.45987209627925,-0.752801177572844,-0.744647086735407,,,-12.9751739947523,-0.525596378401266,,,0.890960894471716,0.0568524216974215,-2.50963337606155,-0.202766584312668,-0.558835963755902,,
"leeds",-24.3753552611652,-0.835344817065519,-41.8136587875297,-0.392073281563287,-9.27217469195423,-0.474714459625434,-10.9694575595915,-0.66816829352826,,-0.8289,,-13.3378138552421,-0.511159733186528,7.52409394039919,0.197117394965459,1.22438149843163,0.0936425827837875,-1.28100969750076,-0.08307243433494,,-0.595431547619048,
"exeter",-32.3012381624193,-0.801024384420276,-11.796601249606,-0.2119704269012,,,,,,,,-18.3511336317551,-0.50968968431045,10.6058025644276,0.275658953675628,,,,,,,
"oxford",-26.0919091821363,-0.830705925819867,,,-12.5204295120617,-0.638367022119551,-9.83865203474488,-0.693894825818653,,,,-14.3002410704313,-0.507155951433915,,,-2.29763312689384,-0.143079056780154,-2.52018599070858,-0.204487483104249,,,
"belfast",-30.8679274702645,-0.761019623773454,-11.417482486421,-0.352692611544448,-11.8305232592644,-0.514892877274181,-13.9134129104243,-0.748893087461926,-0.727789934354486,-0.877,-0.85,-16.371473617279,-0.455815003191725,14.1709732055914,0.336751126075587,-1.7525836220075,-0.0937103576000693,-5.57990194405868,-0.424881902997849,-0.502228519226085,-0.640916071428571,-0.640913450705827
"york",-19.6506581039794,-0.787384947071478,,,-10.1075597880676,-0.382688851291988,-8.09464828776172,-0.644866493541941,-0.743888539970495,,,-9.72248994713964,-0.452812522094105,,,2.34040523186121,0.150832672161188,-0.457332466330675,-0.0543742348143882,-0.568320597701487,,
"reading",-30.170671136707,-0.75618073883828,-28.5037932659527,-0.320956431944603,-9.04254533187619,-0.406824717131809,-9.15772737742494,-0.778913734817624,-0.806750885575042,-0.8643,-0.878787878787879,-15.6204079314176,-0.450523007122822,7.80458803492644,0.198913835521023,4.09966775466726,0.21572537259726,-0.878364130916619,-0.118512355449186,-0.588637336425835,-0.6688125,-0.704542820332294
"nottingham",-22.9469383194935,-0.711970919572208,-29.2524412820205,-0.332788208464623,-17.6908777270862,-0.651519650514614,-10.3497475882764,-0.630051619300312,-0.814372171929997,-0.8579,-0.794117647058823,-11.5625667729391,-0.444225925000941,8.2811259615683,0.174953395088613,-3.82962694220996,-0.162620181137856,-1.33501089266025,-0.0963097666265894,-0.644253148562396,-0.6762875,-0.587995539030247
"cambridge",-21.4074065652565,-0.844514468884207,,,,,,,,,,-9.87034521119427,-0.442311836471266,,,,,,,,,
"plymouth",-22.0114811254185,-0.809812898064466,-23.9770827230921,-0.241243385363613,-21.1121138414221,-0.655409140342528,-13.848886259101,-0.673131895555294,-0.680861736371271,,,-8.30297768177739,-0.432771709308192,12.0735003882167,0.256348577675614,-1.52836305064321,-0.0269291933027606,0.482346751221197,0.0731372266189652,-0.50364929523131,,
