"poll","unit","process_id","region_name","anomaly_lockdown","anomaly_last","delta_rebound"
"no2","Δ µg/m3","anomaly_gbm_lag1_city_mad","Swindon",-3.15049645815333,0.0354180915754315,3.18591454972876
"no2","Δ µg/m3","anomaly_gbm_lag1_city_mad","Swansea",-3.41855813008244,0.0681801974884589,3.4867383275709
"no2","Δ µg/m3","anomaly_gbm_lag1_city_mad","Bradford",-4.21982479559287,-0.0629596703202599,4.15686512527261
"no2","Δ µg/m3","anomaly_gbm_lag1_city_mad","Plymouth",-1.99839340757434,2.23225305168989,4.23064645926423
"no2","Δ µg/m3","anomaly_gbm_lag1_city_mad","Portsmouth",2.07211442626244,6.58384896928644,4.511734543024
"no2","Δ µg/m3","anomaly_gbm_lag1_city_mad","Bristol",-6.28097134058403,-0.92594700115855,5.35502433942548
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Plymouth",-0.836204713253787,-5.20082232814873,-4.36461761489494
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Chatham",-1.77199016205397,-5.80128148643312,-4.02929132437915
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Blackpool",1.94219465615732,-1.81823884247088,-3.7604334986282
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Swansea",-1.08767234621211,-4.43097831134117,-3.34330596512906
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Belfast",-2.37051187574583,-5.52475976834051,-3.15424789259468
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Southampton",-1.8605469445377,-4.75416831591105,-2.89362137137335
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Sunderland",-0.626001010262773,-3.18496850338527,-2.5589674931225
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Wigan",-1.12668288246286,-3.24609133338922,-2.11940845092636
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Warrington",-1.32441246006391,-3.22879300300283,-1.90438054293892
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Preston",-0.362524993036647,-2.21302560923483,-1.85050061619818
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Glasgow",-0.338451716530435,-2.09560119129854,-1.7571494747681
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Manchester",-0.532883792710136,-1.97989135789056,-1.44700756518043
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Aberdeen",-0.150602460859098,-1.54162898194085,-1.39102652108176
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Edinburgh",-0.139260770230591,-1.51221190544095,-1.37295113521036
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Liverpool",-0.804339575807255,-2.17244475041078,-1.36810517460353
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Birkenhead",-0.0370547355070061,-1.30096767490345,-1.26391293939644
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Nottingham",-0.381454968500103,-1.24156515239623,-0.860110183896128
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Leeds",-0.139227078150292,-0.771700824710167,-0.632473746559874
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Worthing",-1.47171121963336,-2.00498885998304,-0.533277640349686
"pm25","Δ µg/m3","anomaly_gbm_lag1_city_mad","Leicester",-1.78924275600975,-2.24871662095317,-0.459473864943418
