"poll","region_name","anomaly_lockdown","offsetted_lockdown","anomaly_last","offsetted_last","delta_rebound","delta_rebound_relative"
"no2","Bristol",-6.42084509958008,21.7233586274146,-0.507739691926608,27.636464035068,5.91310540765347,0.272200330946579
"no2","Bradford",-4.58748784129527,38.0707662809255,-0.132957582348705,42.525296539872,4.45453025894656,0.11700658258561
"no2","Portsmouth",2.18662725561881,23.510772738616,6.55519915791917,27.8793446409164,4.36857190230036,0.185811498025544
"no2","Plymouth",-2.1923714826286,16.0355749046974,1.97746131961381,20.2054077069399,4.16983280224241,0.260036377056921
"no2","Swansea",-3.4867499395964,16.0544349451156,-0.0314413529816771,19.5097435317303,3.45530858661472,0.215224553117391
"no2","Swindon",-3.15540691249973,9.27572692286237,0.157669972106859,12.588803807469,3.31307688460659,0.357177061394582
"no2","Nottingham",-4.12951980702269,26.5551770466453,-1.16506405126672,29.5196328024013,2.96445575575597,0.111633816281803
"no2","Southend",-2.70601889154249,16.5135122753994,0.237224391422583,19.4567555583644,2.94324328296508,0.178232421660515
"no2","Exeter",-5.16626936632567,25.282908785337,-2.41648757249985,28.0326905791628,2.74978179382582,0.108760499718314
"no2","Barnsley",-1.10313454869585,15.0143046597966,1.53656965491685,17.6540088634093,2.6397042036127,0.175812617595337
"no2","Leeds",-5.02625589075206,26.0700165675978,-2.49548176601925,28.6007906923307,2.53077412473282,0.0970760458924406
"no2","Hull",-1.77775379132675,22.8860107443535,0.745337362619851,25.4091018983001,2.5230911539466,0.110246000586585
"no2","Bournemouth",-2.10076389927347,13.3492266975442,0.377945263491672,15.8279358603094,2.47870916276514,0.185681854007403
"no2","Sheffield",1.51962497526911,30.2570823874572,3.7164694918889,32.453926904077,2.1968445166198,0.0726059601017737
"no2","Luton",-1.00184376144206,40.2656671496321,1.1540517235786,42.4215626346528,2.15589548502066,0.05354177982471
"no2","Dundee",-1.34194098976769,10.0397227042675,0.666612884408735,12.0482765784439,2.00855387417642,0.200060692246277
"no2","Coventry",-2.55361780829041,22.4153220732389,-0.618352303178647,24.3505875783507,1.93526550511176,0.0863367253340617
"no2","Middlesbrough",-3.66974150262818,11.7487970939416,-1.74517395187844,13.6733646446914,1.92456755074974,0.163809753063329
"no2","Derby",-5.03919577151401,30.1343238569477,-3.23762675462838,31.9358928738333,1.80156901688563,0.0597846172171628
"no2","Glasgow",-7.36841302757613,27.052891970355,-5.8006095236063,28.6206954743248,1.56780350396983,0.0579532682009693
"no2","Preston",-3.31750868978758,19.0588496295674,-1.78711324201185,20.5892450773432,1.53039544777573,0.080298416615949
"no2","Sunderland",-2.2282763190136,13.8685460023042,-0.88906560935286,15.2077567119649,1.33921070966074,0.0965646081022648
"no2","Blackburn",-0.603606410347914,19.1449732385589,0.685239324650925,20.4338189735577,1.28884573499884,0.0673203205321302
"no2","Norwich",-2.29855205985712,11.6729443794992,-1.02649448547922,12.9450019538771,1.2720575743779,0.108974868124274
"no2","Liverpool",-1.91727453330794,16.288276682474,-0.703219876968279,17.5023313388137,1.21405465633966,0.0745354883151
"no2","Edinburgh",-0.283091341619643,26.5938225983102,0.887769314822916,27.7646832547528,1.17086065644256,0.0440275425661054
"no2","Northampton",-0.9377288439418,12.8302165974232,0.185873965757735,13.9538194071227,1.12360280969954,0.0875747343131525
"no2","Others",-2.0113390479139,15.9173922099101,-0.918905518334621,17.1200263337795,1.09243352957928,0.0686314388169144
"no2","Reading",-6.08887066048162,21.1908159862373,-5.081558789216,22.1981278575029,1.00731187126562,0.0475353035918879
"no2","London",-6.40727823431568,32.1236358596386,-5.43220700542744,33.0987070885268,0.975071228888237,0.0303537007189574
"no2","Southampton",-5.46879588689255,27.3064732988712,-4.57048470451742,28.2047844812463,0.898311182375122,0.0328973709839072
"no2","Birkenhead",-4.95791385369625,14.8378508939917,-4.11422070422976,15.6815440434582,0.843693149466491,0.0568608726084537
"no2","Blackpool",-1.49228118052547,11.7425725757208,-0.668348241208387,12.5665055150379,0.823932939317083,0.0701663058928557
"no2","Worthing",-2.69229641879987,31.0662778493796,-1.92412978490899,31.8344444832705,0.768166633890883,0.0247267032637521
"no2","Birmingham",-2.06941324091876,23.7572354385666,-1.4412380478653,24.38541063162,0.628175193053457,0.0264414264310275
"no2","Wigan",-1.91762042252308,17.4746808292635,-1.57786126202199,17.8144399897646,0.339759160501087,0.0194429394059157
"no2","Oxford",-1.79693255468393,23.4902776395063,-1.57575915837138,23.7114510358188,0.221173396312544,0.00941552925456151
"no2","York",-4.28576232519361,20.7032447091012,-4.14388007227981,20.8451269620151,0.141882252913798,0.00685314089203738
"no2","Belfast",-4.61733668804016,32.2608756472635,-4.72179162368575,32.1564207116179,-0.104454935645585,-0.00323782084490459
"no2","Cambridge",0.408528364425262,25.8878089492307,0.24559586789557,25.724876452701,-0.162932496529693,-0.00629379245069461
"no2","Chatham",-1.38861346105392,22.5699667961346,-2.20651867958571,21.7520615776028,-0.817905218531792,-0.0362386540449794
"no2","Brighton",0.101314683513105,15.7397863471719,-1.00613962477873,14.6323320388801,-1.10745430829183,-0.0703601868452819
"no2","Cardiff",1.88035670946713,22.9839410310516,0.64884016381505,21.7524244853996,-1.23151654565208,-0.053581609176089
"no2","Telford",-0.728269215010012,14.2522892287452,-2.06401799784541,12.9165404459098,-1.3357487828354,-0.093721700521019
"no2","Manchester",-1.93100538280225,26.0957847913331,-3.73043268323376,24.2963574909016,-1.7994273004315,-0.0689547110700088
"no2","Warrington",-5.67675059090987,18.8911787157548,-7.53972052864166,17.028208778023,-1.86296993773179,-0.098615865413317
